load_cost_per_mw,location,offgrid_array_mw,offgrid_battery_mwh,offgrid_array_cost,offgrid_battery_cost,offgrid_power_system_cost,offgrid_total_cost,offgrid_cost_per_util,offgrid_utilization,offgrid_time_s
10000.0,NorthTexas,1.0955255440926555,0.0,219105.1088185311,0.0,219105.1088185311,229105.1088185311,1087542.195641153,0.21066319057483904,2.6482017040252686
14677.992676220705,NorthTexas,1.1044466503363612,0.0,220889.33006727224,0.0,220889.33006727224,235567.32274349296,1109438.425234132,0.21233023607757198,2.6849615573883057
21544.346900318822,NorthTexas,1.1175410435472513,0.0,223508.20870945026,0.0,223508.20870945026,245052.55560976907,1141063.3195477666,0.21475806943552425,2.7615487575531006
31622.776601683792,NorthTexas,1.2853537844939096,0.0,257070.75689878192,0.0,257070.75689878192,288693.53350046574,1185343.2145333635,0.2435526942414871,2.6431562900543213
46415.88833612782,NorthTexas,1.3165117425932444,0.0,263302.3485186489,0.0,263302.3485186489,309718.2368547767,1246953.168544161,0.2483800070987253,2.6514179706573486
68129.20690579608,NorthTexas,1.3622453706720457,0.0,272449.07413440914,0.0,272449.07413440914,340578.2810402052,1334659.5730046509,0.2551798885115541,2.717877149581909
100000.0,NorthTexas,1.4293731564718115,0.0,285874.6312943623,0.0,285874.6312943623,385874.6312943623,1458666.9669904981,0.2645392265861025,2.67097544670105
146779.92676220674,NorthTexas,1.5279032713057976,0.0,305580.65426115954,0.0,305580.65426115954,452360.5810233663,1633011.7970786898,0.27700998965996354,2.67447566986084
215443.46900318822,NorthTexas,1.672525701697842,0.0,334505.14033956843,0.0,334505.14033956843,549948.6093427567,1876859.9214518806,0.2930152661139109,2.635826587677002
316227.7660168379,NorthTexas,1.884802399109009,0.0,376960.4798218018,0.0,376960.4798218018,693188.2458386398,2217843.080141247,0.3125506272492881,2.674984931945801
464158.8833612772,NorthTexas,1.9616234477050194,0.0,392324.6895410039,0.0,392324.6895410039,856483.5729022811,2687670.752109334,0.3186713150150914,2.9654757976531982
681292.0690579608,NorthTexas,2.097690777004831,0.0,419538.15540096624,0.0,419538.15540096624,1100830.224458927,3351912.3923200564,0.32841855502583034,3.220987558364868
1000000.0,NorthTexas,2.9000847964728944,2.0138861083861714,580016.9592945789,402777.2216772343,982794.1809718132,1982794.1809718132,4442234.003805293,0.44635068284861135,2.8086283206939697
1467799.2676220676,NorthTexas,3.642038681719722,2.9355985352441354,728407.7363439443,587119.7070488271,1315527.4433927713,2783326.711014839,5471570.597829033,0.5086888053896601,2.6572351455688477
2154434.6900318824,NorthTexas,4.877982442057388,4.308869380063765,975596.4884114777,861773.876012753,1837370.3644242305,3991805.054456113,6742507.22221231,0.5920357105893238,2.6668882369995117
3162277.660168379,NorthTexas,6.701855221655647,12.723302863834265,1340371.0443311294,2544660.572766853,3885031.617097982,7047309.277266361,7501347.299905924,0.9394724701460953,2.827779531478882
4641588.833612773,NorthTexas,6.101218944431521,10.931332944880197,1220243.7888863042,2186266.588976039,3406510.3778623436,8048099.211475116,9245606.91013345,0.8704781946390311,2.9277701377868652
6812920.690579608,NorthTexas,7.667793562187831,12.80115320914626,1533558.7124375661,2560230.6418292522,4093789.3542668186,10906710.044846427,11389277.609013895,0.9576296600422185,2.8749680519104004
10000000.0,NorthTexas,8.120361679836268,12.432776750116457,1624072.3359672537,2486555.3500232915,4110627.685990545,14110627.685990546,14764172.001806486,0.9557344417461423,2.820178508758545
14677992.676220676,NorthTexas,10.0,10.0,2000000.0,2000000.0,4000000.0,18677992.676220678,21275085.122154173,0.8779279880187605,2.767519235610962
21544346.900318824,NorthTexas,14.399410209576498,22.40206941386004,2879882.0419152994,4480413.882772008,7360295.924687307,28904642.82500613,28905939.014975082,0.9999551583510822,2.822166919708252
31622776.60168379,NorthTexas,19.94759822873869,11.587036557051281,3989519.6457477384,2317407.311410256,6306926.957157995,37929703.55884179,39483156.97391094,0.9606552886311593,2.784834861755371
46415888.33612773,NorthTexas,15.044683768260159,15.863238322800624,3008936.7536520315,3172647.6645601247,6181584.418212157,52597472.75433989,52637256.70229508,0.9992441865240014,2.874572277069092
68129206.90579608,NorthTexas,17.368817467115147,23.17158280039798,3473763.4934230293,4634316.560079596,8108080.053502625,76237286.9592987,76237286.9592987,1.0,2.901275634765625
100000000.0,NorthTexas,15.390089604075147,16.9493827360726,3078017.920815029,3389876.54721452,6467894.468029549,106467894.46802954,106530163.22949326,0.9994154823425027,2.7848703861236572
